Hãng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Số chỗ ngồi,Giá xe (triệu)
Peugeot,2022,Xe đã dùng,30000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,679
Mercedes Benz,2014,Xe đã dùng,90000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,499
Mercedes Benz,2022,Xe đã dùng,500,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,2229
Mercedes Benz,2021,Xe đã dùng,80,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1399
Mercedes Benz,2022,Xe đã dùng,8888,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1788
Peugeot,2022,Xe đã dùng,10000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,979
Mercedes Benz,2022,Xe đã dùng,500,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,2109
Peugeot,2022,Xe đã dùng,16000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,889
Kia,2022,Xe đã dùng,10000,Lắp ráp trong nước,Hatchback,Số tự động,Xăng,5,338
Peugeot,2022,Xe đã dùng,10000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,979
Toyota,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,552
Peugeot,2022,Xe đã dùng,10000,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,979
Chevrolet,2017,Xe đã dùng,60000,Lắp ráp trong nước,SUV,Số tự động,Xăng,7,370
Mercedes Benz,2021,Xe đã dùng,4000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,1619
Mazda,2016,Xe đã dùng,51000,Lắp ráp trong nước,Sedan,Số tự động,Xăng,5,445
VinFast,2022,Xe đã dùng,22000,Lắp ráp trong nước,Crossover,Số tự động,Điện,5,460
Mitsubishi,2022,Xe đã dùng,17000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,615
Volkswagen,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,5,3099
Hyundai,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,744
Toyota,2019,Xe đã dùng,113000,Lắp ráp trong nước,Crossover,Số tay,Xăng,8,560
Mazda,2015,Xe đã dùng,77000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,455
Ford,2023,Xe đã dùng,14000,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu,5,865
Honda,2010,Xe đã dùng,1023000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,362
Mercedes Benz,2023,Xe mới,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,2799
Skoda,2023,Xe mới,0,Nhập khẩu,SUV,Số tự động,Xăng,7,1389
Mitsubishi,2023,Xe mới,0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,5,595
Mercedes Benz,2020,Xe đã dùng,16000,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,1689
Toyota,2021,Xe đã dùng,103000,Lắp ráp trong nước,SUV,Số tự động,Dầu,7,975
Mercedes Benz,2023,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng,5,2749
Kia,2023,Xe mới,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng,5,549
Mercedes Benz,2021,Xe đã dùng,11000,Nhập khẩu,Sedan,Số tự động,Xăng,5,4199
