Tên xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Dẫn động,Số chỗ ngồi,Giá xe
Xe Peugeot 2008 Active 1.2 AT,2022,Xe đã dùng,"30,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.2 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,679 Triệu
Xe Mercedes Benz C class C300 AMG,2014,Xe đã dùng,"90,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  3.0 L,Trắng,Đen,RFD - Dẫn động cầu sau,5 chỗ,499 Triệu
Xe Mercedes Benz E class E200 Exclusive,2022,Xe đã dùng,500 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đen,Nâu,RFD - Dẫn động cầu sau,5 chỗ,2 Tỷ 229 Triệu
Xe Mercedes Benz C class C200 Avantgarde,2021,Xe đã dùng,80 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Xanh,Nâu,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 399 Triệu
Xe Mercedes Benz E class E200 Exclusive,2022,Xe đã dùng,"8,888 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,Nâu,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 788 Triệu
Xe Peugeot 3008 GT,2022,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Trắng,Nâu,FWD - Dẫn động cầu trước,5 chỗ,979 Triệu
Xe Mercedes Benz C class C300 AMG,2022,Xe đã dùng,500 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đen,Đen,RFD - Dẫn động cầu sau,5 chỗ,2 Tỷ 109 Triệu
Xe Peugeot 3008 AL,2022,Xe đã dùng,"16,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Đen,Đen,FWD - Dẫn động cầu trước,5 chỗ,889 Triệu
Xe Kia Morning Luxury,2022,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,Trắng,Kem,FWD - Dẫn động cầu trước,5 chỗ,338 Triệu
Xe Peugeot 3008 GT,2022,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Đen,Kem,FWD - Dẫn động cầu trước,5 chỗ,979 Triệu
Xe Toyota Raize G 1.0 CVT,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  1.0 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,552 Triệu
Xe Peugeot 3008 GT,2022,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Trắng,Nâu,FWD - Dẫn động cầu trước,5 chỗ,979 Triệu
Xe Chevrolet Orlando LTZ 1.8,2017,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  1.8 L,Trắng,Nhiều màu,FWD - Dẫn động cầu trước,7 chỗ,370 Triệu
Xe Mercedes Benz E class E180,2021,Xe đã dùng,"4,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Trắng,Nâu,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 619 Triệu
Xe Mazda 6 2.0 AT,2016,Xe đã dùng,"51,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Ghi,Đen,FWD - Dẫn động cầu trước,5 chỗ,445 Triệu
Xe VinFast VF e34 AT,2022,Xe đã dùng,"22,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Điện  0.1 L,Xanh,Kem,FWD - Dẫn động cầu trước,5 chỗ,460 Triệu
Xe Mitsubishi Triton Athlete 4x2 AT,2022,Xe đã dùng,"17,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.4 L,Trắng,Cam,RFD - Dẫn động cầu sau,5 chỗ,615 Triệu
Xe Volkswagen Touareg Luxury 2.0 TSI,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Trắng,Màu khác,AWD - 4 bánh toàn thời gian,5 chỗ,3 Tỷ 99 Triệu
Xe Hyundai Tucson 2.0 AT Tiêu chuẩn,2023,Xe mới,Xe mới,Lắp ráp trong nước,Crossover,Số tự động,Xăng  2.0 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,744 Triệu
Xe Toyota Innova 2.0E,2019,Xe đã dùng,"113,000 Km",Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,Đồng,Nhiều màu,RFD - Dẫn động cầu sau,8 chỗ,560 Triệu
Xe Mazda CX5 2.0 AT,2015,Xe đã dùng,"77,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Xanh,Đen,FWD - Dẫn động cầu trước,5 chỗ,455 Triệu
Xe Ford Ranger Wildtrak 2.0L 4x4 AT,2023,Xe đã dùng,"14,000 Km",Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Trắng,Đen,4WD - Dẫn động 4 bánh,5 chỗ,865 Triệu
Xe Honda CRV 2.4 AT,2010,Xe đã dùng,"1,023,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.4 L,Bạc,Đen,FWD - Dẫn động cầu trước,5 chỗ,362 Triệu
Xe Toyota Corolla Cross ,2023,Xe mới,Xe mới,Nhập khẩu,SUV,-,-,Đỏ,Nâu,-,0 chỗ,755 Triệu
Xe Mercedes Benz GLC 300 4Matic,2023,Xe mới,Xe mới,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,2 Tỷ 799 Triệu
Xe Skoda Kodiaq Style,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng,Trắng,Đen,AWD - 4 bánh toàn thời gian,7 chỗ,1 Tỷ 389 Triệu
Xe Mitsubishi Triton 4x2 AT,2023,Xe mới,Xe mới,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.4 L,Xám,Ghi,RFD - Dẫn động cầu sau,5 chỗ,595 Triệu
Xe Mercedes Benz GLC 300 4Matic,2020,Xe đã dùng,"16,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 689 Triệu
Xe Toyota Fortuner 2.4G 4x2 AT,2021,Xe đã dùng,"103,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu  2.4 L,Trắng,Đen,RFD - Dẫn động cầu sau,7 chỗ,975 Triệu
Xe Mercedes Benz GLC 300 4Matic,2023,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Nhiều màu,AWD - 4 bánh toàn thời gian,5 chỗ,2 Tỷ 749 Triệu
Xe Kia Sonet Luxury 1.5 AT,2023,Xe mới,Xe mới,Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.5 L,Xanh,Đen,FWD - Dẫn động cầu trước,5 chỗ,549 Triệu
Xe Mercedes Benz S class S450,2021,Xe đã dùng,"11,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Đen,Đen,RFD - Dẫn động cầu sau,5 chỗ,4 Tỷ 199 Triệu
Xe Ford Everest 2.5L 4x2 MT,2007,Xe đã dùng,"202,580 Km",Lắp ráp trong nước,SUV,Số tay,Dầu  2.5 L,Bạc,Kem,RFD - Dẫn động cầu sau,7 chỗ,239 Triệu
Xe Mercedes Benz C class C300 AMG,2021,Xe đã dùng,"12,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Trắng,Đen,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 799 Triệu
Xe Mercedes Benz S class S450 4Matic Luxury,2022,Xe đã dùng,"1,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Xanh,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,5 Tỷ 199 Triệu
Xe Mercedes Benz GLC 200 4Matic,2022,Xe đã dùng,"5,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Kem,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 688 Triệu
Xe Mercedes Benz C class C200 Avantgarde Plus,2022,Xe đã dùng,30 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đen,Nâu,RFD - Dẫn động cầu sau,5 chỗ,1 Tỷ 679 Triệu
Xe Mazda 3 1.5 AT,2015,Xe đã dùng,"90,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,379 Triệu
Xe Mercedes Benz GLC 300 4Matic,2021,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đen,Kem,AWD - 4 bánh toàn thời gian,5 chỗ,1 Tỷ 820 Triệu
Xe Hyundai Tucson 2.0 AT CRDi,2020,Xe đã dùng,"33,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Dầu  2.0 L,Đỏ,Đen,FWD - Dẫn động cầu trước,5 chỗ,690 Triệu
Xe Lexus LS 460,2008,Xe đã dùng,"80,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  4.6 L,Trắng,Kem,RFD - Dẫn động cầu sau,5 chỗ,750 Triệu
Xe Toyota Land Cruiser 3.5 V6,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  3.4 L,Đen,Kem,AWD - 4 bánh toàn thời gian,7 chỗ,4 Tỷ 286 Triệu
Xe Toyota Camry 2.5HV,2023,Xe mới,Xe mới,Nhập khẩu,Sedan,Số tự động,Hybrid  2.5 L,Trắng,Đen,FWD - Dẫn động cầu trước,5 chỗ,1 Tỷ 420 Triệu
Xe Lexus RX 350L,2021,Xe đã dùng,"16,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.5 L,Cát,Nâu,AWD - 4 bánh toàn thời gian,7 chỗ,3 Tỷ 450 Triệu
Xe Ford Mustang Mach-E GT eAWD,2023,Xe mới,Xe mới,Nhập khẩu,Crossover,Số tự động,Điện,Vàng,Đen,AWD - 4 bánh toàn thời gian,4 chỗ,4 Tỷ 650 Triệu
Xe Mercedes Benz GLC 300 4Matic,2022,Xe đã dùng,20 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,Đen,AWD - 4 bánh toàn thời gian,5 chỗ,2 Tỷ 229 Triệu
Xe Kia Sorento Signature 2.2 AT AWD,2021,Xe đã dùng,"27,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu  2.2 L,Trắng,Kem,AWD - 4 bánh toàn thời gian,6 chỗ,985 Triệu
Xe LandRover Range Rover Autobiography LWB 5.0,2014,Xe đã dùng,"51,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  5.0 L,Trắng,Kem,AWD - 4 bánh toàn thời gian,4 chỗ,3 Tỷ 900 Triệu
Xe Lexus LX 600 Urban,2023,Xe mới,Xe mới,Nhập khẩu,SUV,Số tự động,Xăng  3.4 L,Đen,Nâu,AWD - 4 bánh toàn thời gian,7 chỗ,9 Tỷ 500 Triệu
Xe Kia Cerato 1.6 AT Luxury,2020,Xe đã dùng,30 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.6 L,Đen,Kem,FWD - Dẫn động cầu trước,5 chỗ,490 Triệu
