company,type,mfdate,mileage_v2,condition_ad,gearbox,fuel,carorigin,cartype,carseats,veh_warranty_policy,veh_unladen_weight,veh_gross_weight,cost
Nissan,Navara,2020,75000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,475.000.000 đ
Honda,City,2022,50000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,455.000.000 đ
Suzuki,Ertiga,2022,22000,Đã sử dụng,Số sàn,Xăng,Nước khác,,,,,,455.000.000 đ
Mitsubishi,Attrage,2016,1234,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,255.000.000 đ
Ford,Transit,2022,,Mới,Số sàn,Dầu,Việt Nam,Kiểu dáng khác,,,,,799.000.000 đ
Nissan,X trail,2019,65000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,640.000.000 đ
Isuzu,Dmax,2017,120000,Đã sử dụng,Số sàn,Dầu,Thái Lan,,,,,,395.000.000 đ
Toyota,Innova,2017,109999,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,455.000.000 đ
Toyota,Innova,2018,78000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,468.000.000 đ
Ford,Ranger,2015,80000,Đã sử dụng,Số sàn,Dầu,Thái Lan,,,,,,398.000.000 đ
Toyota,Innova,2018,99000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,575.000.000 đ
MG,5,2023,,Mới,Tự động,Xăng,Thái Lan,Sedan,,,,,349.000.000 đ
Honda,Civic,2021,20000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,735.000.000 đ
Mercedes Benz,A Class,2013,86000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,399.000.000 đ
Hyundai,Accent,2023,,Mới,Số sàn,Xăng,Việt Nam,Sedan,,,,,63.000.000 đ
Ford,Focus,2013,70000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,350.000.000 đ
Ford,Ranger,2015,85000,Đã sử dụng,Số sàn,Dầu,Thái Lan,,,,,,365.000.000 đ
Vinfast,Lux A2.0,2020,24000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,549.000.000 đ
Mercedes Benz,ML Class,2008,90000,Đã sử dụng,Tự động,Xăng,Mỹ,,,,,,295.000.000 đ
Kia,Cerato,2019,800000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,489.000.000 đ
Kia,K3,2022,47000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,570.000.000 đ
Toyota,Vios,2017,150,Đã sử dụng,Số sàn,Xăng,,Sedan,,,,,278.000.000 đ
Daewoo,Gentra,2009,98000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,112.000.000 đ
Ford,Transit,2017,165000,Đã sử dụng,Số sàn,Dầu,,Van,,,,,540.000.000 đ
Toyota,Camry,2013,59000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,516.000.000 đ
Honda,Civic,2021,4000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,735.000.000 đ
Honda,Civic,2021,20000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,735.000.000 đ
Honda,Brio,2021,28000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,385.000.000 đ
Honda,Civic,2021,15000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,650.000.000 đ
Honda,Civic,2021,18000,Đã sử dụng,5,Xăng,Thái Lan,,,,,,650.000.000 đ
Toyota,Camry,2013,59000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,516.000.000 đ
Mercedes Benz,C Class,2022,25000,Đã sử dụng,Tự động,Xăng,Đức,,,,,,1.166.000.000 đ
Mazda,6,2014,82000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,415.000.000 đ
Ford,Ranger,2021,12000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,670.000.000 đ
Kia,Cerato,2021,28000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,545.000.000 đ
Daewoo,Lacetti,2004,125000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,85.000.000 đ
Ford,EcoSport,2016,55000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,365.000.000 đ
Daewoo,Matiz,2002,150000,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,,,,,,37.500.000 đ
Mitsubishi,Triton,2017,56000,Đã sử dụng,Số sàn,Dầu,Thái Lan,,,,,,360.000.000 đ
Ford,Focus,2013,69999,Đã sử dụng,Tự động,Xăng,,Hatchback,,,,,350.000.000 đ
Ford,Everest,2012,150000,Đã sử dụng,Tự động,Dầu,Đang cập nhật,,,,,,310.000.000 đ
Hyundai,Grand Starex,2010,1,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,,,,,,318.000.000 đ
Mitsubishi,Xpander,2019,72000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,468.000.000 đ
Toyota,Hilux,2018,72000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,550.000.000 đ
Ford,EcoSport,2018,48000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,435.000.000 đ
Ford,Transit,2019,92000,Đã sử dụng,Số sàn,Dầu,Việt Nam,,,,,,535.000.000 đ
Kia,Seltos,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,,,,,594.000.000 đ
Honda,Brio,2021,28000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,385.000.000 đ
Mercedes Benz,E Class,2017,60000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,1.099.000.000 đ
Hyundai,Starex,2010,70000,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,,,,,,196.000.000 đ
Lifan,520,2008,750000,Đã sử dụng,Số sàn,Xăng,Trung Quốc,,,,,,88.000.000 đ
Ford,Ranger,2021,32000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,568.000.000 đ
Honda,Odyssey,2007,61000,Đã sử dụng,Tự động,Xăng,Mỹ,,,,,,320.000.000 đ
Hyundai,Grand i10,2022,11000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,390.000.000 đ
BMW,4 Series,2022,6000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,2.999.000.000 đ
