Tiêu đề,Hãng,Dòng xe,Năm sản xuất,Số Km đã đi,Tình trạng,Hộp số,Nhiên liệu,Xuất xứ,Giá,Kiểu Dáng,Số Chỗ,Dung tich
bán xe Xpander chính chủ,Mitsubishi,xpander,2019,50000.0,Đã sử dụng,Tự động,Xăng,Nước khác,460.000.000 đ,SUV,7 ,1.5
Lên đời bán xe Pajero Sport mua hãng còn mới,Mitsubishi,pajerosport,2021,60000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,830.000.000 đ,SUV,7 ,2.4
"Ford Everest Wildtrak, Đủ màu giao ngay",Ford,everest,2023,,Mới,Bán tự động,Dầu,Thái Lan,1.409.000.000 đ,SUV,7 ,2.5
Everest 4x4 2023 giảm giá tới 120tr góp từ 250tr,Ford,everest,2023,,Mới,Tự động,Dầu,Thái Lan,1.352.000.000 đ,SUV,7 ,2.5
cần bán xe lux A 2.0 đời 2019 Bản prelium mới đét,Vinfast,luxa2.0,2019,26000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,605.000.000 đ,,,0
Xe gia đình đang sử dụng.,Chevrolet,spark,2009,150000.0,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,58.000.000 đ,Hatchback,5 ,0.8
"Innova 2015 8 chỗ màu trắng ae về kd, bao test",Toyota,innova,2015,455000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,270.000.000 đ,Crossover,8 ,2.0
Peugeot 3008 AL sx 2022 siêu mới,Peugeot,3008,2022,20000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,868.000.000 đ,Crossover,5 ,1.6
Peugeot 408 2.0AT Premium đklđ 2019 odo 5 vạn km,Peugeot,408,2016,50000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,340.000.000 đ,Crossover,5 ,1.6
Mercedes GLC 250 4Matic sx 2016 siêu mới,Mercedes Benz,glc,2016,110000.0,Đã sử dụng,Tự động,Xăng,,888.000.000 đ,Sedan,5 ,3.0
TOYOTA VIOS 1.5G STĐ SX 2019 TƯ NHÂN 1 CHỦ,Toyota,vios,2019,51000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,445.000.000 đ,Sedan,5 ,1.5
Toyota iQ 2012,Toyota,iq,2012,39000.0,Đã sử dụng,Tự động,Xăng,Mỹ,750.000.000 đ,,,0
Kia Rondo bản full 2.0 GATH,Kia,rondo,2016,45000.0,Đã sử dụng,Tự động,Xăng,,450.000.000 đ,SUV,7 ,2.0
Kia Carnival Signature Dầu sx 2022 siêu đẹp,Kia,carnival,2022,40000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,1.325.000.000 đ,Van/Minivan,8 ,2.2
Ford Wildtrack 2017 4x4 xe còn rất mới,Ford,ranger,2017,93000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,565.000.000 đ,Bán tải / Pickup,5 ,2.0
Cần bán Kia Morning Van 2015 Bản nhập khẩu,Kia,morning,2015,5000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,210.000.000 đ,Hatchback,5 ,1.2
TOYOTA CAMRY 2.4 NHẬP NHẬT SX 2008,Toyota,camry,2008,12000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,339.000.000 đ,Sedan,5 ,2.5
XE BÁN TẠI HÃNG RANGER WILDTRAK 2021 BH TOÀN QUỐC,Ford,ranger,2021,29000.0,Đã sử dụng,Tự động,Dầu,,748.000.000 đ,Bán tải / Pickup,5 ,2.0
Cần bán xe chính chủ 1 đời,Kia,sorento,2020,21800.0,Đã sử dụng,Tự động,Dầu,Việt Nam,920.000.000 đ,SUV,6 ,2.2
Mercedes C300 Plus sx 2014 siêu đẹp,Mercedes Benz,cclass,2014,90000.0,Đã sử dụng,Tự động,Xăng,,499.000.000 đ,Sedan,5 ,3.0
Mercedes GLK 250 4Matic 2014 full ls hãng!,Mercedes Benz,glkclass,2014,88000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,595.000.000 đ,SUV,5 ,3.0
Cần bán Mitsubishi Lancer 2009,Mitsubishi,lancer,2009,50000.0,Đã sử dụng,Tự động,Xăng,,295.000.000 đ,Sedan,5 ,1.6
FORD RANGER XLT SX 2019 STĐ 2 CẦU NHẬP KHẨU,Ford,ranger,2019,31000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,580.000.000 đ,Bán tải / Pickup,5 ,2.0
CHỦ GIỮ RẤT KỸ ECOSPORT TITANIUM 2018 BH TẠI HÃNG,Ford,ecosport,2018,53000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,425.000.000 đ,SUV,5 ,1.5
Peugeot 3008 AL sx 2022 siêu đẹp,Peugeot,3008,2022,10000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,868.000.000 đ,Crossover,5 ,1.6
cần bán xe cruze 2018,Chevrolet,cruze,2018,46000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,348.000.000 đ,Sedan,5 ,1.8
"BMW 528i GT model 2017 thể thao, một đời chủ",BMW,5series,2016,73000.0,Đã sử dụng,Tự động,Xăng,Đức,1.150.000.000 đ,Sedan,5 ,2.0
✅ MAZDA 3 LUXURY 2022 XE CÁ NHÂN ĐI,Mazda,3,2022,40000.0,Đã sử dụng,Tự động,Xăng,,559.000.000 đ,Hatchback,5 ,1.5
NAVARA EL 2.5 AT 2017 1 CHỦ TỪ ĐẦU,Nissan,navara,2017,110000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,399.000.000 đ,Bán tải / Pickup,5 ,2.5
Toyota Fortuner 2.7V 4x2 AT 2017 một chủ từ đầu,Toyota,fortuner,2017,170000.0,Đã sử dụng,Tự động,Xăng,,690.000.000 đ,SUV,7 ,2.4
Mazda CX-5 2.0 2014 xe đẹp,Mazda,cx5,2014,130000.0,Đã sử dụng,Tự động,Xăng,,419.000.000 đ,SUV,5 ,2.0
"🔥 VIOS 2019 - STĐ BẢN G, XE GIA ĐÌNH ĐẸP 🔥",Toyota,vios,2019,74000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,455.000.000 đ,Sedan,5 ,1.5
Honda Brio RS 2019 màu cực đẹp!,Honda,brio,2019,40000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,375.000.000 đ,Hatchback,5 ,1.2
🟢Ford Raptor 2020 Xám Lên Option Đồ Zin Còn Đủ,Ford,ranger,2020,69000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,955.000.000 đ,Bán tải / Pickup,5 ,2.0
Chevrolet Trailblazer 2018 - Hỗ trợ bank,Chevrolet,trailblazer,2018,5000.0,Đã sử dụng,Tự động,Dầu,,525.000.000 đ,SUV,7 ,2.5
CHEVROLET CRUZE LT SX 2016 SỐ SÀN,Chevrolet,cruze,2016,71000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,268.000.000 đ,Sedan,5 ,1.8
Vinfast President 2021 sang trọng và đầy quyền lực,Vinfast,3,2021,50000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,1.680.000.000 đ,,,0
Peugeot 3008 sx 2015 siêu mới,Peugeot,3008,2015,70000.0,Đã sử dụng,Tự động,Xăng,,470.000.000 đ,Crossover,5 ,1.6
Camry 3.5Q 2008 xe rất đẹp,Toyota,camry,2008,118000.0,Đã sử dụng,Tự động,Xăng,,325.000.000 đ,Sedan,5 ,2.5
Cần Bán Xe Huyndai Gandi10 2017 1.2,Hyundai,grandi10,2017,82000.0,Đã sử dụng,Tự động,Xăng,,290.000.000 đ,Sedan,5 ,1.2
Mercedes Benz C300 siêu lướt,Mercedes Benz,cclass,2022,5999.0,Đã sử dụng,Tự động,Xăng,Việt Nam,1.809.000.000 đ,Sedan,5 ,3.0
🟢Chính Hãng Ford Bán Tourneo Trend 2019 XHD Cty,Ford,tourneo,2019,47000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,620.000.000 đ,Van/Minivan,7 ,2.0
Fadil-Siêu lướt-chạy 17.800km-RẤT MỚI-40t phụ kiện,Vinfast,fadil,2021,17800.0,Đã sử dụng,Tự động,Xăng,Việt Nam,308.000.000 đ,,,0
Bán xe nguyên zin,Mitsubishi,attrage,2021,96000.0,Đã sử dụng,Số sàn,Xăng,Thái Lan,280.000.000 đ,Sedan,5 ,1.2
Nissan X trail 2.5 AT 2004,Nissan,xtrail,2004,13.0,Đã sử dụng,Tự động,Xăng,Việt Nam,175.000.000 đ,SUV,7 ,2.0
JAGUAR XF NHẬP KHẨU 2.0AT SX 2015 RẤT MỚI,Jaguar,xf,2015,81000.0,Đã sử dụng,Tự động,Xăng,Đức,830.000.000 đ,Coupe,2 ,3.0
E250 sản xuất 2012 model mới 2013 zin 10 vạn,Mercedes Benz,eclass,2012,10500.0,Đã sử dụng,Tự động,Xăng,,468.000.000 đ,Sedan,5 ,2.0
Gia đình đổi 7 chỗ cần bán lên đời,Nissan,navara,2019,35000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,490.000.000 đ,Bán tải / Pickup,5 ,2.5
bán santafe full xăng giá thương lượng và fix mạnh,Hyundai,santafe,2021,22000.0,Đã sử dụng,Tự động,Xăng,,998.000.000 đ,SUV,7 ,2.2
BMW 528i GT sx 2017 siêu mới,BMW,5series,2017,50000.0,Đã sử dụng,Tự động,Xăng,,1.139.000.000 đ,Sedan,5 ,2.0
Mercedes Benz GLC 300 4Matic  V1 2022,Mercedes Benz,glc,2022,9999.0,Đã sử dụng,Tự động,Xăng,Việt Nam,2.109.000.000 đ,Sedan,5 ,3.0
Bán Innova số sàn 2018 mới chạy 60.000 km quá đẹp,Toyota,innova,2018,63000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,485.000.000 đ,Crossover,8 ,2.0
CRV 2019 nhập khẩu cần tìm chủ nhân,Honda,crv,2019,67000.0,Đã sử dụng,Tự động,Xăng,,760.000.000 đ,SUV,5 ,2.4
🟢Chính Hãng Ford Bán Ranger Wildtrak Biturbo 2021,Ford,ranger,2021,28000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,748.000.000 đ,Bán tải / Pickup,5 ,2.0
VINFAST LUX A 2.0 BASE NÂU 2019 BIỂN HN,Vinfast,luxa2.0,2019,50000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,535.000.000 đ,,,0
Mazda 3 1.5 Luxury 2022 xe cá nhân,Mazda,3,2022,44700.0,Đã sử dụng,Tự động,Xăng,,569.000.000 đ,Hatchback,5 ,1.5
"CIVIC G DATE CUỐI 2021, 18.000KM,BIỂN SG, CỰC MỚI",Honda,civic,2021,18000.0,Đã sử dụng,5,Xăng,Thái Lan,650.000.000 đ,Sedan,5 ,1.5
Captiva-QUÁ MỚI-biển TPHCM-1 chủ từ đầu-2 dàn lạnh,Chevrolet,captiva,2017,,Đã sử dụng,Tự động,Xăng,Việt Nam,429.000.000 đ,SUV,7 ,2.4
Kia cerata 2018,Kia,cerato,2018,45000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,420.000.000 đ,Sedan,5 ,1.6
Bán Fadil Base 2020 chạy 1.3v,Vinfast,fadil,2020,13000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,289.000.000 đ,,,0
Kia carens 2015,Kia,carens,2015,5000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,215.000.000 đ,Crossover,7 ,2.0
MERCEDES C CLASS C250 CGI SX 2010 RẤT MỚI,Mercedes Benz,cclass,2010,120000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,310.000.000 đ,Sedan,5 ,3.0
Fortuner máy xăng một cầu Nhập khẩu sản xuất 2019,Toyota,fortuner,2019,70000.0,Đã sử dụng,Tự động,Xăng,,775.000.000 đ,SUV,7 ,2.4
Hãng Ford bán Yaris bản G số tự động 2018 1 chủ,Toyota,yaris,2018,78000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,425.000.000 đ,Hatchback,5 ,1.3
Xe và hợp đồng chạy taxi tai sân bay Tân Sơn Nhất,Toyota,innova,2014,160000.0,Đã sử dụng,Số sàn,Xăng,Nhật Bản,260.000.000 đ,Crossover,8 ,2.0
GLC 300 4Matic 2023 siêu lướt giá cực tốt,Mercedes Benz,glcclass,2023,6000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,2.549.000.000 đ,,,0
Tourneo 2019 Titanium,Ford,tourneo,2019,34000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,650.000.000 đ,Van/Minivan,7 ,2.0
Toyota Camry GLI 2002 Chất Xe Rin Đẹp,Toyota,camry,2002,128618.0,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,180.000.000 đ,Sedan,5 ,2.5
Mitsubishi Pajero Đời 2007 Chất Rin Đẹp,Mitsubishi,pajero,2007,168218.0,Đã sử dụng,Số sàn,Xăng,Nhật Bản,245.000.000 đ,,,0
Chỉ cần 788tr có ngay LEXUS ES250 2019,Lexus,es,2019,40000.0,Đã sử dụng,Tự động,Xăng,,1.788.000.000 đ,Sedan,5 ,2.5
Bán Xe Attrager 2020 MT,Mitsubishi,attrage,2020,60000.0,Đã sử dụng,Số sàn,Xăng,,279.000.000 đ,Sedan,5 ,1.2
Suzuki Ciaz 2019,Suzuki,ciaz,2019,31000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,380.000.000 đ,Sedan,5 ,1.4
Mercedes Benz S400L 2014,Mercedes Benz,sclass,2014,60000.0,Đã sử dụng,Tự động,Xăng,Nước khác,1.280.000.000 đ,,,0
🟢Everest 2 Cầu Biturbo Đỏ 2018 Siêu Cọp XHD Cty,Ford,everest,2018,24000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,913.000.000 đ,SUV,7 ,2.5
"Kia K5 2.5-GTline 2022 Siêu Lướt 9,600km Zin 100%",Kia,k5,2022,9600.0,Đã sử dụng,Tự động,Xăng,,859.000.000 đ,Sedan,5 ,2.0
SUZUKI SWIFT GLX 2020 BIỂN HN SIÊU LƯỚT 2v KM,Suzuki,swift,2020,21000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,460.000.000 đ,Hatchback,5 ,1.2
Mazda 3 1.5 Deluxe 2022,Mazda,3,2022,34684.0,Đã sử dụng,Tự động,Xăng,Việt Nam,559.000.000 đ,Hatchback,5 ,1.5
"Bán xe Kia Morning, 1 chủ mua mới từ đầu",Kia,morning,2014,50885.0,Đã sử dụng,Tự động,Xăng,Việt Nam,260.000.000 đ,Hatchback,5 ,1.2
"CIVIC RS MODEL 2021 FULL ĐỒ CHƠI, CHỈ 2 VẠN KM",Honda,civic,2021,20000.0,Đã sử dụng,5,Xăng,Thái Lan,715.000.000 đ,Sedan,5 ,1.5
Nissan Teana 2010 - Bản nhập khẩu 2.0,Nissan,teana,2010,5000.0,Đã sử dụng,Tự động,Xăng,,275.000.000 đ,Sedan,5 ,2.0
