Hãng,Dòng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Dung tích,Số chỗ,Giá (triệu)
peugeot,2008,2022,Xe đã dùng,30000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.2,5.0,679
mercedes benz,cclass,2014,Xe đã dùng,90000.0,Trong nước,Sedan,Số tự động,Xăng,3.0,5.0,499
mercedes benz,eclass,2022,Xe đã dùng,500.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,2229
mercedes benz,cclass,2021,Xe đã dùng,80.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,1399
mercedes benz,eclass,2022,Xe đã dùng,8888.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,1788
peugeot,3008,2022,Xe đã dùng,10000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,979
mercedes benz,cclass,2022,Xe đã dùng,500.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,2109
peugeot,3008,2022,Xe đã dùng,16000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,889
kia,morning,2022,Xe đã dùng,10000.0,Trong nước,Hatchback,Số tự động,Xăng,1.2,5.0,338
peugeot,3008,2022,Xe đã dùng,10000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,979
toyota,raize,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.0,5.0,552
peugeot,3008,2022,Xe đã dùng,10000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.6,5.0,979
chevrolet,orlando,2017,Xe đã dùng,60000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.8,7.0,370
mercedes benz,eclass,2021,Xe đã dùng,4000.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,1619
mazda,6,2016,Xe đã dùng,51000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,445
vinfast,vf,2022,Xe đã dùng,22000.0,Trong nước,SUV /Crossover,Số tự động,Điện,0.0,5.0,460
mitsubishi,triton,2022,Xe đã dùng,17000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.4,5.0,615
volkswagen,touareg,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,3099
hyundai,tucson,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,744
toyota,innova,2019,Xe đã dùng,113000.0,Trong nước,SUV /Crossover,Số tay,Xăng,2.0,8.0,560
mazda,cx5,2015,Xe đã dùng,77000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,455
ford,ranger,2023,Xe đã dùng,14000.0,Trong nước,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,865
honda,crv,2010,Xe đã dùng,1023000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.4,5.0,362
mercedes benz,glc,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,2799
mitsubishi,triton,2023,Xe mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.4,5.0,595
mercedes benz,glc,2020,Xe đã dùng,16000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,1689
toyota,fortuner,2021,Xe đã dùng,103000.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.4,7.0,975
mercedes benz,glc,2023,Xe đã dùng,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,2749
kia,sonet,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,1.5,5.0,549
mercedes benz,sclass,2021,Xe đã dùng,11000.0,Nhập khẩu,Sedan,Số tự động,Xăng,3.0,5.0,4199
ford,everest,2007,Xe đã dùng,202580.0,Trong nước,SUV /Crossover,Số tay,Dầu,2.5,7.0,239
mercedes benz,cclass,2021,Xe đã dùng,12000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,1799
mercedes benz,sclass,2022,Xe đã dùng,1000.0,Nhập khẩu,Sedan,Số tự động,Xăng,3.0,5.0,5199
mercedes benz,glc,2022,Xe đã dùng,5000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,1688
mercedes benz,cclass,2022,Xe đã dùng,30.0,Trong nước,Sedan,Số tự động,Xăng,1.5,5.0,1679
mazda,3,2015,Xe đã dùng,90000.0,Trong nước,Hatchback,Số tự động,Xăng,1.5,5.0,379
mercedes benz,glc,2021,Xe đã dùng,10000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,1820
hyundai,tucson,2020,Xe đã dùng,33000.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.0,5.0,690
lexus,ls,2008,Xe đã dùng,80000.0,Nhập khẩu,Sedan,Số tự động,Xăng,4.6,5.0,750
toyota,landcruiser,2023,Xe mới,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,3.4,7.0,4286
toyota,camry,2023,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Hybrid,2.5,5.0,1420
